[01:04:22] INFO [ScanEngine] Progress: 10/593 files (1.2%), 62485 bytes, ETA 213s
[01:04:22] INFO [ScanEngine] Progress: 20/593 files (1.5%), 80747 bytes, ETA 7s
[01:04:22] INFO [ScanEngine] Progress: 30/593 files (1.8%), 93528 bytes, ETA 3s
[01:04:22] INFO [ScanEngine] Progress: 40/593 files (2.1%), 113288 bytes, ETA 1s
[01:04:22] INFO [ScanEngine] Progress: 50/593 files (2.4%), 126239 bytes, ETA 0s
[01:04:22] INFO [ScanEngine] Progress: 60/593 files (2.7%), 143414 bytes, ETA 0s
[01:04:22] INFO [ScanEngine] Progress: 70/593 files (3.1%), 163598 bytes, ETA 0s
[01:04:22] INFO [ScanEngine] Progress: 80/593 files (3.4%), 179811 bytes, ETA 0s
[01:04:22] INFO [ScanEngine] Progress: 90/593 files (3.7%), 197588 bytes, ETA 0s
[01:04:22] INFO [ScanEngine] Progress: 100/593 files (4.1%), 217924 bytes, ETA 0s
[01:04:22] INFO [ScanEngine] Progress: 110/593 files (4.4%), 233004 bytes, ETA 0s
[01:04:22] INFO [ScanEngine] Progress: 120/593 files (4.7%), 250997 bytes, ETA 0s
[01:04:22] INFO [ScanEngine] Progress: 130/593 files (5.0%), 264993 bytes, ETA 0s
[01:04:22] INFO [ScanEngine] Progress: 140/593 files (5.4%), 289858 bytes, ETA 0s
[01:04:22] INFO [ScanEngine] Progress: 150/593 files (5.6%), 300561 bytes, ETA 0s
[01:04:22] INFO [ScanEngine] Progress: 160/593 files (5.9%), 313086 bytes, ETA 0s
[01:04:22] INFO [ScanEngine] Progress: 170/593 files (6.1%), 324573 bytes, ETA 0s
[01:04:22] INFO [ScanEngine] Progress: 180/593 files (6.5%), 345248 bytes, ETA 0s
[01:04:22] INFO [ScanEngine] Progress: 190/593 files (6.7%), 357281 bytes, ETA 0s
[01:04:22] INFO [ScanEngine] Progress: 200/593 files (7.0%), 375943 bytes, ETA 0s
[01:04:22] INFO [ScanEngine] Progress: 210/593 files (7.3%), 388911 bytes, ETA 0s
[01:04:22] INFO [ScanEngine] Progress: 220/593 files (7.5%), 401263 bytes, ETA 0s
[01:04:22] INFO [ScanEngine] Progress: 230/593 files (7.9%), 420318 bytes, ETA 0s
[01:04:22] INFO [ScanEngine] Progress: 240/593 files (8.1%), 432194 bytes, ETA 0s
[01:04:22] INFO [ScanEngine] Progress: 250/593 files (8.3%), 444050 bytes, ETA 0s
[01:04:22] INFO [ScanEngine] Progress: 260/593 files (8.7%), 465944 bytes, ETA 0s
[01:04:22] INFO [ScanEngine] Progress: 270/593 files (9.1%), 487621 bytes, ETA 0s
[01:04:22] INFO [ScanEngine] Progress: 280/593 files (9.5%), 507575 bytes, ETA 0s
[01:04:22] INFO [ScanEngine] Progress: 290/593 files (9.9%), 526552 bytes, ETA 0s
[01:04:22] INFO [ScanEngine] Progress: 300/593 files (10.0%), 533101 bytes, ETA 0s
[01:04:22] INFO [ScanEngine] Progress: 310/593 files (10.3%), 551224 bytes, ETA 0s
[01:04:22] INFO [ScanEngine] Progress: 320/593 files (10.6%), 563692 bytes, ETA 0s
[01:04:22] INFO [ScanEngine] Progress: 330/593 files (10.9%), 584202 bytes, ETA 0s
[01:04:22] INFO [ScanEngine] Progress: 340/593 files (11.6%), 619822 bytes, ETA 0s
[01:04:22] INFO [ScanEngine] Progress: 350/593 files (12.1%), 646057 bytes, ETA 0s
[01:04:22] INFO [ScanEngine] Progress: 360/593 files (12.6%), 674336 bytes, ETA 0s
[01:04:22] INFO [ScanEngine] Progress: 370/593 files (12.9%), 686707 bytes, ETA 0s
[01:04:22] INFO [ScanEngine] Progress: 380/593 files (13.3%), 708733 bytes, ETA 0s
[01:04:22] INFO [ScanEngine] Progress: 390/593 files (14.0%), 745372 bytes, ETA 0s
[01:04:22] INFO [ScanEngine] Progress: 400/593 files (14.7%), 784198 bytes, ETA 0s
[01:04:22] INFO [ScanEngine] Progress: 410/593 files (15.9%), 849757 bytes, ETA 0s
[01:04:22] INFO [ScanEngine] Progress: 420/593 files (16.6%), 884956 bytes, ETA 0s
[01:04:22] INFO [ScanEngine] Progress: 430/593 files (16.9%), 900663 bytes, ETA 0s
[01:04:22] INFO [ScanEngine] Progress: 440/593 files (17.1%), 913074 bytes, ETA 0s
[01:04:22] INFO [ScanEngine] Progress: 450/593 files (17.3%), 924572 bytes, ETA 0s
[01:04:22] INFO [ScanEngine] Progress: 460/593 files (18.2%), 972529 bytes, ETA 0s
[01:04:22] INFO [ScanEngine] Progress: 470/593 files (19.0%), 1016940 bytes, ETA 0s
[01:04:22] INFO [ScanEngine] Progress: 480/593 files (20.1%), 1076050 bytes, ETA 0s
[01:04:22] INFO [ScanEngine] Progress: 490/593 files (21.0%), 1123682 bytes, ETA 0s
[01:04:22] INFO [ScanEngine] Progress: 500/593 files (21.5%), 1148351 bytes, ETA 0s
[01:04:22] INFO [ScanEngine] Progress: 510/593 files (21.9%), 1170608 bytes, ETA 0s
[01:04:22] INFO [ScanEngine] Progress: 520/593 files (22.2%), 1184620 bytes, ETA 0s
[01:04:22] INFO [ScanEngine] Progress: 530/593 files (23.0%), 1228407 bytes, ETA 0s
[01:04:22] INFO [ScanEngine] Progress: 540/593 files (34.6%), 1847559 bytes, ETA 0s
[18:27:20] INFO [ScanEngine] Progress: 10/591 files (1.3%), 62485 bytes, ETA 102s
[18:27:20] INFO [ScanEngine] Progress: 20/591 files (1.9%), 90652 bytes, ETA 1s
[18:27:20] INFO [ScanEngine] Progress: 30/591 files (2.2%), 104020 bytes, ETA 1s
[18:27:20] INFO [ScanEngine] Progress: 40/591 files (2.6%), 123780 bytes, ETA 0s
[18:27:20] INFO [ScanEngine] Progress: 50/591 files (2.8%), 136731 bytes, ETA 0s
[18:27:20] INFO [ScanEngine] Progress: 60/591 files (3.2%), 153906 bytes, ETA 0s
[18:27:20] INFO [ScanEngine] Progress: 70/591 files (3.6%), 174090 bytes, ETA 0s
[18:27:20] INFO [ScanEngine] Progress: 80/591 files (3.9%), 190303 bytes, ETA 0s
[18:27:20] INFO [ScanEngine] Progress: 90/591 files (4.3%), 208080 bytes, ETA 0s
[18:27:20] INFO [ScanEngine] Progress: 100/591 files (4.7%), 228416 bytes, ETA 0s
[18:27:20] INFO [ScanEngine] Progress: 110/591 files (5.1%), 243496 bytes, ETA 0s
[18:27:20] INFO [ScanEngine] Progress: 120/591 files (5.4%), 261489 bytes, ETA 0s
[18:27:20] INFO [ScanEngine] Progress: 130/591 files (5.7%), 275485 bytes, ETA 0s
[18:27:20] INFO [ScanEngine] Progress: 140/591 files (6.2%), 300350 bytes, ETA 0s
[18:27:20] INFO [ScanEngine] Progress: 150/591 files (6.5%), 311053 bytes, ETA 0s
[18:27:20] INFO [ScanEngine] Progress: 160/591 files (6.7%), 323578 bytes, ETA 0s
[18:27:20] INFO [ScanEngine] Progress: 170/591 files (6.9%), 335065 bytes, ETA 0s
[18:27:20] INFO [ScanEngine] Progress: 180/591 files (7.4%), 355740 bytes, ETA 0s
[18:27:20] INFO [ScanEngine] Progress: 190/591 files (7.6%), 367773 bytes, ETA 0s
[18:27:20] INFO [ScanEngine] Progress: 200/591 files (8.0%), 386435 bytes, ETA 0s
[18:27:20] INFO [ScanEngine] Progress: 210/591 files (8.3%), 399403 bytes, ETA 0s
[18:27:20] INFO [ScanEngine] Progress: 220/591 files (8.5%), 411755 bytes, ETA 0s
[18:27:20] INFO [ScanEngine] Progress: 230/591 files (8.9%), 430810 bytes, ETA 0s
[18:27:20] INFO [ScanEngine] Progress: 240/591 files (9.2%), 442686 bytes, ETA 0s
[18:27:20] INFO [ScanEngine] Progress: 250/591 files (9.4%), 454542 bytes, ETA 0s
[18:27:20] INFO [ScanEngine] Progress: 260/591 files (9.9%), 476436 bytes, ETA 0s
[18:27:20] INFO [ScanEngine] Progress: 270/591 files (10.3%), 498113 bytes, ETA 0s
[18:27:20] INFO [ScanEngine] Progress: 280/591 files (10.7%), 518067 bytes, ETA 0s
[18:27:20] INFO [ScanEngine] Progress: 290/591 files (11.1%), 537044 bytes, ETA 0s
[18:27:20] INFO [ScanEngine] Progress: 300/591 files (11.3%), 543593 bytes, ETA 0s
[18:27:20] INFO [ScanEngine] Progress: 310/591 files (11.7%), 561716 bytes, ETA 0s
[18:27:20] INFO [ScanEngine] Progress: 320/591 files (11.9%), 574184 bytes, ETA 0s
[18:27:20] INFO [ScanEngine] Progress: 330/591 files (12.3%), 594694 bytes, ETA 0s
[18:27:20] INFO [ScanEngine] Progress: 340/591 files (13.1%), 630314 bytes, ETA 0s
[18:27:20] INFO [ScanEngine] Progress: 350/591 files (13.6%), 656549 bytes, ETA 0s
[18:27:20] INFO [ScanEngine] Progress: 360/591 files (14.2%), 684828 bytes, ETA 0s
[18:27:20] INFO [ScanEngine] Progress: 370/591 files (14.5%), 697199 bytes, ETA 0s
[18:27:20] INFO [ScanEngine] Progress: 380/591 files (14.9%), 719225 bytes, ETA 0s
[18:27:20] INFO [ScanEngine] Progress: 390/591 files (15.7%), 755864 bytes, ETA 0s
[18:27:20] INFO [ScanEngine] Progress: 400/591 files (16.5%), 794690 bytes, ETA 0s
[18:27:20] INFO [ScanEngine] Progress: 410/591 files (17.8%), 860249 bytes, ETA 0s
[18:27:20] INFO [ScanEngine] Progress: 420/591 files (18.6%), 895448 bytes, ETA 0s
[18:27:20] INFO [ScanEngine] Progress: 430/591 files (18.9%), 911155 bytes, ETA 0s
[18:27:20] INFO [ScanEngine] Progress: 440/591 files (19.2%), 923566 bytes, ETA 0s
[18:27:20] INFO [ScanEngine] Progress: 450/591 files (19.4%), 935064 bytes, ETA 0s
[18:27:20] INFO [ScanEngine] Progress: 460/591 files (20.4%), 983021 bytes, ETA 0s
[18:27:20] INFO [ScanEngine] Progress: 470/591 files (21.3%), 1027432 bytes, ETA 0s
[18:27:20] INFO [ScanEngine] Progress: 480/591 files (22.5%), 1086542 bytes, ETA 0s
[18:27:20] INFO [ScanEngine] Progress: 490/591 files (23.5%), 1134174 bytes, ETA 0s
[18:27:20] INFO [ScanEngine] Progress: 500/591 files (24.0%), 1158843 bytes, ETA 0s
[18:27:20] INFO [ScanEngine] Progress: 510/591 files (24.5%), 1181100 bytes, ETA 0s
[18:27:20] INFO [ScanEngine] Progress: 520/591 files (24.8%), 1195112 bytes, ETA 0s
[18:27:20] INFO [ScanEngine] Progress: 530/591 files (25.7%), 1238899 bytes, ETA 0s
[18:27:20] INFO [ScanEngine] Progress: 540/591 files (27.5%), 1326203 bytes, ETA 0s
[11:14:02] INFO [ScanEngine] Progress: 10/234 files (0.1%), 14399 bytes, ETA 20s
[11:14:03] INFO [ScanEngine] Progress: 20/234 files (0.7%), 78103 bytes, ETA 2s
[11:14:03] INFO [ScanEngine] Progress: 30/234 files (1.0%), 112883 bytes, ETA 0s
[11:14:03] INFO [ScanEngine] Progress: 40/234 files (1.3%), 150269 bytes, ETA 0s
[11:14:03] INFO [ScanEngine] Progress: 50/234 files (1.6%), 176053 bytes, ETA 0s
[11:14:03] INFO [ScanEngine] Progress: 60/234 files (1.8%), 199210 bytes, ETA 0s
[11:14:03] INFO [ScanEngine] Progress: 70/234 files (1.8%), 205227 bytes, ETA 0s
[11:14:03] INFO [ScanEngine] Progress: 80/234 files (1.9%), 219327 bytes, ETA 0s
[11:14:03] INFO [ScanEngine] Progress: 90/234 files (2.1%), 234675 bytes, ETA 0s
[11:14:03] INFO [ScanEngine] Progress: 100/234 files (2.4%), 270285 bytes, ETA 0s
[11:14:03] INFO [ScanEngine] Progress: 110/234 files (2.6%), 293302 bytes, ETA 0s
[11:14:03] INFO [ScanEngine] Progress: 120/234 files (2.9%), 321211 bytes, ETA 0s
